day	Anno	celltype	UMAP_1	UMAP_2	marker:Hlx	marker:Postn	up:Foxp1	up:Creb3l1	up:Nr2f2	up:Hoxb2	up:Gata5	up:Nkx2-3	up:Mef2c	down:Cdx2	down:Lef1	down:Hoxd9	down:Pitx1	down:Id3	down:Hoxd1	down:Evx1	down:Nkx1-2	down:Hoxa10	down:Msx1	down:Msx2	down:Tcf7	down:Alx3	down:Hmga2	down:Sp5	down:Hoxa1	down:Id1	down:Cdx1	down:Hoxb6	down:Hoxb8	down:Hoxb9	down:Cdx4	down:Tbx3
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	4.71	-3.53	0	1.7	0	0	0	1.7	0	0	0	2.3	2.6	2.6	4.1	3.8	1.7	0	0	2.3	4.2	2.9	2.3	2.6	4.1	0	1.7	2.3	0	2.9	2.9	0	2.6	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	0.49	7.86	1.8	0	1.8	0	0	1.8	1.8	0	0	0	0	0	0	1.8	0	0	0	0	1.8	0	1.8	0	3.9	0	1.8	0	0	0	1.8	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	6.59	-3.65	0	0	0	0	0	0	2.7	0	0	2.7	0	0	0	0	3.8	0	0	0	4.1	2.7	0	0	3.4	2.7	0	0	0	0	2.7	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-4.39	-2.79	2.5	0	2.5	0	0	3.8	0	2.5	0	4	4	0	3.1	5	2.5	0	3.1	0	3.5	0	2.5	0	4.5	0	0	2.5	0	2.5	0	3.1	3.5	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-3.79	4.27	0	0	1.9	0	0	2.9	0	0	1.9	1.9	0	0	0	3.9	2.9	0	0	0	2.9	1.9	0	0	3.4	0	0	2.5	1.9	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	6.81	-2.1	0	2.9	0	3.8	0	3.3	0	0	0	2.3	0	0	0	2.3	2.3	0	0	0	3.6	0	0	2.3	2.3	0	2.9	2.9	0	2.9	2.3	0	0	2.3
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-0.4	7.55	0	0	0	0	1.8	2.8	0	0	1.8	1.8	1.8	1.8	1.8	4	0	0	0	0	3.4	2.4	0	0	4	1.8	2.8	1.8	0	0	2.8	0	0	1.8
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-0.42	1.02	0	0	0	2	0	0	2	0	0	3.7	2.7	0	0	3.7	0	0	0	0	3.3	2	2.7	2.7	4.2	0	0	3.3	0	2.7	2	0	2	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	2.22	-6.23	0	0	1.8	3.1	0	3.1	0	0	0	0	1.8	0	4.2	3.3	2.4	0	1.8	0	4.2	1.8	1.8	0	3.1	1.8	0	2.4	0	1.8	1.8	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-3.16	-5.47	0	0	0	2.2	0	2.2	0	0	0	2.2	2.9	3.3	3.9	3.9	0	0	2.9	3.9	5	3.5	2.9	2.2	3.8	0	0	2.2	0	4.3	2.2	0	2.9	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	1.59	-2.45	0	0	0	0	0	2.8	0	0	0	0	0	0	0	3.7	0	0	0	0	2.1	4.1	2.8	0	3.2	2.1	0	2.1	2.1	3.7	2.8	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-0.56	3.61	3.3	0	2.9	0	2.3	2.9	0	0	0	0	0	0	2.3	3.6	0	0	0	0	2.3	2.3	0	0	3.3	0	2.9	0	0	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	3.13	5.02	0	0	0	0	0	3.2	0	0	0	0	0	0	0	2.6	0	0	0	0	2.6	0	0	0	0	0	0	0	0	3.6	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	6.35	-2.45	0	0	0	0	0	2.4	0	0	0	0	1.8	0	0	4.1	1.8	0	0	0	4.6	2.8	0	1.8	2.8	1.8	2.4	1.8	0	3.4	3	0	1.8	1.8
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	2.55	1.55	0	0	0	2.4	0	2.7	0	0	0	2.4	0	0	0	3.2	0	0	0	0	0	1.8	0	1.8	3	0	0	0	0	1.8	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-0.48	7.89	0	0	0	0	0	2.2	0	0	0	0	2.2	0	2.9	3.8	0	0	2.2	2.9	3.9	3.5	0	2.2	3.3	0	0	0	0	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	2.94	3.47	0	0	2.1	2.1	0	3.1	0	2.7	0	2.7	2.1	0	0	0	0	0	0	0	2.1	0	0	0	2.1	0	0	2.1	0	2.1	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	6.71	-3.03	0	3	0	2.4	0	3.4	0	0	0	0	2.4	0	0	3.4	2.4	0	0	0	3.7	0	2.4	0	0	0	2.4	0	0	2.4	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	4.9	-1.83	0	0	0	0	0	2.3	0	0	0	0	0	0	0	2.3	2.3	0	0	0	4.3	2.3	0	0	3.3	2.9	0	2.9	0	3.6	2.9	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	1.45	-3.1	0	0	0	0	0	2	0	0	0	0	3.1	0	2.7	2	0	0	2	0	3.3	3.3	0	2	0	3.1	3.1	0	0	0	2	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-4.65	-5.8	2	0	0	0	0	3.4	0	0	0	2	3	2.6	3.6	3.6	0	0	0	3.4	3.2	2	0	0	2.6	0	0	2.6	0	3	2	2.6	0	2.6
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-0.47	3.66	0	0	0	2.9	0	2.3	0	0	0	0	0	0	0	2.9	0	0	0	0	3.3	2.9	0	0	0	0	0	3.3	0	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-4.65	-0.56	0	0	0	0	0	2.3	0	0	0	2.9	2.3	2.3	2.3	4.5	3.3	0	0	0	3.8	2.3	2.3	0	3.3	0	0	2.3	2.3	2.3	0	0	0	2.3
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	4.51	-2.49	0	0	1.9	0	0	3.5	0	0	0	1.9	0	0	0	3.7	3.2	0	0	0	3.2	3.2	1.9	0	3.8	0	2.5	2.5	0	3.5	0	1.9	0	1.9
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-4.54	1.18	0	0	0	0	0	2.3	2.3	0	0	0	2.3	0	0	4.5	3	0	0	0	0	3	2.3	0	3.4	0	3	3.9	0	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-5.06	0.72	0	0	0	0	0	0	2.3	0	0	2.3	0	0	2.3	3.6	3.9	2.3	0	0	2.3	0	0	0	3.4	0	0	0	2.3	2.3	0	0	0	2.3
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-5.3	6.04	0	0	0	0	0	0	0	0	2.5	0	0	0	2.5	3.4	0	0	0	0	0	0	0	0	3.4	0	0	3.7	0	1.9	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	3.11	3.84	0	0	0	0	0	3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6	0	0	0	0	0	0	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-1.83	0.56	0	1.7	3.1	0	0	1.7	0	1.7	0	0	0	0	1.7	2.3	0	0	0	0	2.6	0	0	1.7	3.3	0	2.3	0	0	1.7	1.7	0	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	2.98	-7.37	0	0	0	2.5	0	0	0	0	0	0	2.5	0	3.1	2.9	0	0	0	1.9	2.9	1.9	2.5	0	2.5	1.9	0	2.5	0	2.5	1.9	1.9	0	0
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	-2.95	-4.37	0	0	0	0	0	2.4	0	0	0	3.1	0	2.4	3.4	4.8	2.4	0	0	3.1	4.3	3.1	0	0	2.4	0	0	3.1	0	3.7	0	0	0	2.4
E8	E8_Amniochorionic_mesoderm	Amniochorionic_mesoderm	0.86	0.47	1.6	2.2	1.6	3.3	0	1.6	0	0	0	1.6	0	0	2.2	1.6	0	0	0	0	2.2	1.6	0	0	2.5	0	2.8	0	0	2.2	0	0	0	0
