day	Anno	celltype	UMAP_1	UMAP_2	Btg2	C130060K24Rik	Cdkn1c	Dach1	Dach2	Dmbx1	Ebf1	Ebf2	Fgf15	Fgf17	Fgf8	Gadd45g	Mecom	Mitf	Mybl1	Neurod1	Nfia	Nkx2-1	Nlgn1	Npas3	Olig2	Pax2	Pax3	Pax5	Pcbp3	Ppp1r1c	Prdm16	Prmt8	Ptprr	Setbp1	Shox2	Six3	Slc17a6	Sox1	Sox5	Sox6	Syt13	Trps1	Zeb2
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-8.29	-2.9	0	0	4	0	0	0	0	0	0	2.9	2.3	0	2.3	0	0	0	0	0	0	0	0	0	0	0	2.3	0	0	0	0	0	0	2.9	0	0	0	2.3	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-4.79	4.43	0	0	4.1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2.6	0	0	0	3
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-5.93	5.46	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	2
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-4.96	7.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	2.5
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-3.3	6.93	0	0	0	0	0	0	0	0	0	4	2.8	0	0	0	0	0	0	0	0	0	0	1.8	0	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-7.17	-4.68	0	0	3.4	0	0	0	0	0	2.8	0	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1	0	0	0	0	0	0	2.1
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-4.11	6.25	0	0	3.1	0	0	0	0	0	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-6.45	0.77	0	0	2.6	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-5.45	4.61	0	0	3.6	0	0	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-6.49	-3.33	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2.6	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-7.41	-0.44	0	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-8.25	-3.31	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-7.6	-0.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-5.64	4.72	0	0	3	0	0	0	0	0	0	0	1.8	1.8	0	0	0	0	0	0	0	0	0	0	0	2.4	0	0	0	0	0	0	0	1.8	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-5.91	4.28	2.1	0	2.1	0	0	2.1	0	0	2.1	0	0	0	0	0	0	0	2.1	0	0	0	0	0	0	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	2.1	2.7
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-8.12	-3.34	0	0	0	0	0	0	0	0	3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1	0	0	0	0	2.1	0	2.1	2.1	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-5.56	2.49	0	0	0	0	0	0	0	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-8.22	-4.19	0	0	2.7	2.1	0	0	0	0	2.1	0	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	1.22	-3.63	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-5.93	4.63	0	0	1.9	0	0	0	0	0	0	0	0	1.9	0	0	0	0	0	0	0	0	0	0	0	1.9	0	0	0	0	0	0	0	0	0	1.9	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-4.1	7.84	0	0	0	0	0	0	0	0	2.2	2.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-6.63	-2.96	2.8	0	3.4	0	0	0	0	0	0	0	0	0	2.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-7.49	-4.02	0	0	0	0	0	0	0	0	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-6.36	3.3	0	0	0	0	0	0	0	0	3.8	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-6.41	-0.98	0	0	3.4	0	0	0	0	0	0	0	0	0	2.4	0	0	0	0	0	0	0	0	0	0	0	2.4	0	0	0	0	0	0	0	0	0	0	0	0	2.4	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-8.29	-3.75	0	0	3.8	0	0	0	0	0	3.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7	0	2	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-6.71	2.27	0	0	2	0	0	0	0	0	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-7.32	-4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-3.79	6.34	0	0	0	0	0	0	0	0	3.4	3.4	4.4	2.7	0	0	0	0	0	0	0	0	0	0	0	0	2.7	0	0	0	0	0	0	0	0	2.7	0	0	0	2.7	3.8
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-7.16	-1.43	0	0	2.1	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-8.42	-3.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-7.31	-3.02	0	0	0	0	0	0	0	0	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-4.91	4.14	0	0	0	0	0	0	0	0	2.9	0	0	2.3	0	0	0	0	0	0	0	0	0	0	2.3	2.3	0	0	0	0	0	0	0	2.3	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-3.76	6.41	2.1	0	0	0	0	0	0	0	2.7	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-3.07	6.79	1.8	0	2.8	0	0	0	0	0	1.8	2.4	3.4	0	0	0	0	0	0	0	0	0	0	0	1.8	0	1.8	0	0	0	0	1.8	0	0	0	1.8	0	1.8	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-5.93	0.53	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4	0	2.4	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-8.36	-2.56	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2.7	0	0	0	2	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-1.67	6.08	0	0	3.3	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7	0	0	0	0	0	0	0	0	2	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-6.42	-4.3	0	0	2.5	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	1.9	0	0	0	0	0	0	0	0	0	2.9	0	0	1.9	0	0	0	1.9
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	1.5	-0.58	1.6	0	3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6	0	0	0	0	0	0	2.6	0	1.6	0	0	0	2.2	1.6
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-5.26	-2.17	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-6.93	-1.34	0	0	1.9	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9	0	0	0	1.9	0	1.9	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-1.65	6.15	1.5	0	2.7	1.5	0	0	0	0	1.5	1.5	2.7	0	1.5	0	0	0	0	0	0	0	0	2.1	2.7	1.5	1.5	0	0	0	0	0	0	0	0	1.5	0	0	0	1.5	1.5
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-6.74	-2.33	0	0	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6	0	0	0	0	0	0	2.6
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-6.08	-3.58	0	0	2.5	0	0	0	0	0	0	0	0	0	1.9	0	0	0	0	0	0	0	0	0	0	0	1.9	0	0	0	0	0	0	1.9	0	0	1.9	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-8.17	-3.57	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-1.93	-2.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8	0	0	0	0	0	0	0	1.8	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-6.73	-3.45	0	0	3.1	0	0	0	0	0	0	0	0	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-6.25	-4.5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2.6	0	3.3	0	2	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-3.75	6.29	0	0	2.3	0	0	0	0	0	0	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3	2.3	0	0	0	0	0	0	0	0	2.3	0	0	0	0	2.3
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-5.06	3.28	0	0	1.9	0	0	1.9	0	0	2.8	0	0	0	0	0	0	0	0	0	0	0	0	1.9	0	0	1.9	0	0	0	0	0	0	0	0	1.9	0	0	0	0	1.9
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-5.41	2.66	0	0	2.1	0	0	0	2.7	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7	1.5	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-6.96	1.65	2.2	0	0	0	0	0	0	0	2.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-6.4	-0.34	0	0	2.2	0	0	0	0	0	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-4.32	6.81	0	0	2.1	0	0	0	0	0	2.7	2.1	4.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-0.57	-3.64	0	0	3.2	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2	0	0	0	0	0	0	1.9	0	0	0	0	0	0	3.2	0	0	0	0	0	0	2.5
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-4.93	3.45	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-6.63	-2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6	0	0	0	0	0	3.3	0	0	0	0	0	0	2.6	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-7.32	-1.69	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-6.09	5.24	0	0	0	0	0	0	0	0	3.1	2.8	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	1.22	-3.68	2.1	0	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1	0	0	2.1	0	0	0	2.1	0	0	0	0	0	0	3.9	0	0	0	0	0	0	3.4
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-8.54	-3.03	0	0	0	2.2	0	0	0	0	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9	0	0	0	2.2	0	0	2.2
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-3.47	4.65	0	0	2.9	0	0	0	0	0	3.9	1.9	2.9	0	0	0	0	0	0	0	0	0	0	0	0	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-4.84	3.81	0	0	2.1	0	0	3.1	0	0	3.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-6.7	2.46	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2.6	0	0	0	0	2
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-8.19	-3.68	1.9	0	0	0	0	0	0	0	2.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-5.43	4.18	0	0	2.6	0	0	0	0	0	0	0	2.6	0	0	0	0	0	2.6	0	0	0	0	0	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-8.45	-2.62	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-1.85	4.25	0	0	0	0	0	0	0	0	0	3.3	3.5	0	0	0	0	0	0	0	0	0	0	2.2	3.5	0	0	0	0	0	0	0	0	0	0	2.2	0	0	0	0	2.9
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-2.66	6.14	0	0	2.1	0	0	0	0	0	0	0	3.4	0	0	0	0	0	0	0	0	0	0	0	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-8.41	-3.24	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-5.7	-2.95	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9	0	0	0	0	0	0	2.5
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-4.26	4.47	0	0	0	0	0	0	0	0	2.9	1.9	1.9	1.9	0	0	0	0	0	0	0	0	0	0	1.9	0	0	0	0	0	0	0	0	0	0	1.9	0	0	0	0	1.9
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-4.43	3.41	0	0	0	0	0	0	0	0	3.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-7.95	-3.79	2.2	0	2.2	0	0	0	0	0	3.9	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-5.02	3.17	3.3	0	3.3	0	0	0	0	0	0	0	0	4.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-5.02	2.42	1.8	0	2.7	0	0	0	0	0	3.2	0	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	1.8
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-5.85	0.34	0	0	2.7	1.7	0	0	1.7	0	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7	0	2.7	0	0	0	0	0	0	0	0	0	1.7	0	0	0	1.7
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-5.71	2.93	0	0	0	0	0	2.9	0	0	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-8.33	-4.62	0	0	0	0	0	0	0	0	3.5	2.2	3.7	0	2.2	0	0	0	0	0	0	0	0	0	0	2.2	0	0	0	0	0	0	0	3.2	0	2.2	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-4.73	5.85	0	0	0	0	0	0	0	0	2.9	2.2	4.2	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-6.75	3.32	0	0	0	0	0	0	0	0	2.1	0	0	0	0	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-5.08	6.84	0	0	0	0	0	0	0	0	0	0	2.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1	0	0	0	2.8	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-4.74	4.88	0	0	0	0	0	0	0	0	0	0	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-7.11	-3.62	0	0	3.2	0	0	0	0	0	1.9	1.9	3.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-7.9	-3.59	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6	0	0	0	0	0	0	2
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-4.1	5.91	0	0	2.3	0	0	0	0	0	0	2.3	2.3	0	0	0	0	0	0	0	0	0	0	2.9	0	0	0	0	0	0	0	0	0	0	0	2.3	0	0	0	2.3	2.3
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-8.22	-2.99	0	0	3	0	0	0	0	0	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-7.44	-4.94	0	0	4.2	0	0	0	2.6	0	0	3.3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-3.89	5.96	2.2	0	2.2	0	0	0	0	0	2.2	3.5	2.9	0	0	0	0	0	0	0	0	0	0	0	2.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-4.55	5.53	0	0	3	0	0	0	0	0	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-5.99	-4.99	0	0	2.1	2.1	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8	0	0	2.1	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-4.73	5.73	0	0	0	1.8	0	0	0	0	2.4	3	5.2	0	0	0	0	0	0	0	0	0	0	0	0	2.4	2.4	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-7	-1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7	0	0	0	2.3	0	0	0	0	0	0	0
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-2.86	6.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7	0	0	0	2.1	2.1	0	0	0	0	0	0	0	0	3.1	0	0	0	0	2.1
E8.5	E85_Forebrain_Midbrain	Forebrain_Midbrain	-6.84	-4.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9	0	0	0	0	0	0	0
